"CUSTOMER_KEY"	"CUSTOMER_ID"	"OPERATING_REVENUE_TRAILING_365"	"CUSTOMER_ORDER_FIRST_PLACED_DTTM"	"CUSTOMER_ADDRESS_ZIP"	"CUSTOMER_ADDRESS_CITY"	"CUSTOMER_ADDRESS_STATE"	"name"	"email"	"password_hash"	"password"	"persona_summary"	"preferred_brands"	"special_diet"	"possible_next_buys"	"price_range_food"	"price_range_treats"	"price_range_waste_management"	"price_range_beds"	"price_range_feeders"	"price_range_leashes_and_collars"
"24612503152"	"72030138"	"63742.65384"	"2019-09-17 00:00:00.000"	"64503-1542"	"SAINT JOSEPH"	"MO"	"Paula Bridges"	"paula.bridges@gmail.com"	"$2b$12$6S0MOjv7znp.Z2Hl5fZALO127Kf5fkxWwfPNRbqWrxmqfaZ3njlrK"	"*1mld(oOt_pY"	"This user demonstrates a balanced pet shopping behavior with a moderate loyalty to brands, primarily purchasing bowls, feeders, and beds. They have a preference for higher quality products, with an average purchase price of $69.02 and a tendency to shop within the mid-price range. Recent purchases indicate a focus on reliable and functional pet supplies, specifically from Neater Pets and Purina ONE, suggesting an inclination towards well-reviewed brands."	"[""Neater Pets"", ""Purina ONE"", ""Frisco""]"	"[""With Grain""]"	"Recently bought dog bowls and a bed, so might buy dog toys or grooming supplies."	"{""min"": 33.48, ""max"": 33.48}"	"{}"	"{}"	"{""min"": 153.0, ""max"": 153.0}"	"{""min"": 38.99, ""max"": 65.99}"	"{}"
"2763257"	"2172881"	"51017.3519"	"2014-08-11 00:00:00.000"	"45338-8764"	"LEWISBURG"	"OH"	"David Adams"	"david.adams@gmail.com"	"$2b$12$UgVUuogTkE0afgg2PHOjM.8CYJ8JvNJASxul0k06aDaoKqGgpSi1C"	"1mf_46DSz*jF"	"This user exhibits initial exploration behavior in pet shopping, shown by a single click on a product from the Food category. They have not made any purchases, indicating either a lack of brand loyalty or a possible indecision in their shopping journey. The user engaged with a product priced at $89.95, which suggests they are looking at premium offerings. However, with a 0% conversion rate, there are opportunities to improve their experience to encourage purchases."	"[""Farmina""]"	"[]"	""	"{""min"": 89.95, ""max"": 89.95}"	"{}"	"{}"	"{}"	"{}"	"{}"
"283250185"	"14348457"	"42892.26452"	"2017-02-21 05:00:00.000"	"65231-1012"	"AUXVASSE"	"MO"	"Sarah Perry"	"sarah.perry@gmail.com"	"$2b$12$f3s3fOebUTZVZ6OlJyY34O7A/omtJJySuSKEEtxqhLTHFxejaj14O"	"%7YiM_4YNjb1"	"The user demonstrates a moderate level of engagement with pet shopping, showcasing a balanced purchase behavior across various categories, particularly in Bowls & Feeders and Beds, Crates & Gear. They exhibit a preference for specific brands such as Frisco and Necoichi, although brand loyalty is relatively low, with most purchases being one-time. The user tends to favor mid to high-priced products, spending an average of $32.17 overall with a notable interest in quality items, as indicated by their recent purchases of elevated feeders and a stylish cat tree."	"[""Frisco"", ""Necoichi"", ""Catit"", ""Only Natural Pet""]"	"[""Human-Grade"", ""Pea-Free""]"	"Recently bought Only Natural Pet Free-Range Chicken Bone Broth and Necoichi Ceramic Elevated Cat Food & Water Bowl Set, so might buy another elevated feeding option."	"{""min"": 8.82, ""max"": 8.82}"	"{}"	"{}"	"{}"	"{}"	"{}"
"3215628"	"10967912"	"39607.92771"	"2017-04-12 00:00:00.000"	"33331-2607"	"FORT LAUDERDALE"	"FL"	"Diamond Foster"	"diamond.foster@gmail.com"	"$2b$12$LCD2i8FrIoeN6tG8GHdi.e.Ex1O3GamFqJvkAy9csBVAcp/wwwGU2"	"gPWpHw$x&0Gm"	"This user demonstrates a mix of practicality and brand loyalty in their pet shopping behavior. They have made 17 purchases out of 95 events, with a higher tendency to buy litter and accessories, as indicated by a purchase ratio of 0.38 in that category. The user tends to shop for food and health products as well, showing a significant spend on items like Pedigree and Fancy Feast. Their average spending is around $22.93, with a clear preference for low to mid-priced items, primarily within the 'Food' and 'Litter & Accessories' categories."	"[""Frisco"", ""Fancy Feast"", ""Pedigree""]"	"[""With Grain""]"	"Recently bought Pedigree dog food and Fancy Feast canned food, so might buy more dog food or treats."	"{""min"": 13.98, ""max"": 20.97}"	"{}"	"{""min"": 24.99, ""max"": 38.06}"	"{}"	"{}"	"{}"
"2139746"	"1851269"	"38048.17955"	"2014-06-06 00:00:00.000"	"30093-3943"	"Norcross"	"GA"	"Melanie Brown"	"melanie.brown@gmail.com"	"$2b$12$138zc40N8LbwVI5227aUseDpN.imujP8pR8W4IE91pb.r/LG6Q3TK"	"9&3+lOvug!u2"	"The user exhibits a strong preference for Royal Canin, having made the majority of their purchases in the food category, particularly wet cat food and dog food tailored for sensitive stomachs. Their spending habits suggest a mid to high range buyer, with an average purchase price of around $60, reflecting brand loyalty mainly towards Hill's Science Diet despite a higher total spend on Royal Canin. The user is likely to continue purchasing premium pet food products to maintain their pets' health and wellness."	"[""Royal Canin"", ""Hill's Science Diet"", ""Purina Pro Plan""]"	"[""With Grain"", ""High Fiber"", ""Weight Control"", ""No Corn No Wheat No Soy"", ""High-Protein""]"	"Recently bought Royal Canin and Purina Pro Plan food products, so might buy new treats or accessories."	"{""min"": 49.08, ""max"": 77.48}"	"{""min"": 42.64, ""max"": 42.64}"	"{}"	"{}"	"{}"	"{""min"": 20.12, ""max"": 20.12}"
"3863625"	"3248799"	"38006.28766"	"2015-08-03 04:00:00.000"	"66617-1587"	"Topeka"	"KS"	"Karen Christensen"	"karen.christensen@gmail.com"	"$2b$12$KVbZhSA8us5yaoieZtfhYefkVsHoWYkJ0kT/ezUz25qz9pcir/tTW"	"iT2EC+yk(vP#"	"This user is highly dedicated to purchasing premium pet food and treats, demonstrating strong brand loyalty to 'Taste of the Wild' for food and 'Bones & Chews' for treats. With a perfect conversion rate of 100%, they exhibit a consistent buying behavior, spending a total of approximately $359 on pet food and $6 on treats. The user's preference leans towards grain-free options, and they frequently select higher-end products, with an average spend of $35.99 per transaction."	"[""Taste of the Wild"", ""Bones & Chews""]"	"[""Grain-Free""]"	"Recently bought multiple bags of grain-free food, so might buy additional treats or another variety of 'Taste of the Wild' food."	"{""min"": 58.99, ""max"": 58.99}"	"{}"	"{}"	"{}"	"{}"	"{}"
"7760634"	"10763261"	"35157.4383"	"2016-10-26 00:00:00.000"	"11385-1043"	"RIDGEWOOD"	"NY"	"Edward Mitchell"	"edward.mitchell@gmail.com"	"$2b$12$vOUM9nqfeLZnDsKlJPZVgOG1qo0fKwGQHXflsytyAVELDmtSKpEt."	"%+KxLJct40ir"	"This user exhibits a strong preference for dog treats, particularly from the SmartBones brand, indicating a focus on high-quality, rawhide-free options. They have a moderate spending habit, with an average spend around $15, but a higher average for food purchases at about $48.96. The user prefers grain-free options and is actively engaged in purchasing, showing a notable conversion rate of 36%. They are likely to continue buying from brands they are loyal to, such as SmartBones and Wellness."	"[""SmartBones"", ""Wellness""]"	"[""Grain-Free"", ""Rawhide-Free""]"	"Recently bought treats and grain-free dog food, so might buy more grain-free treats."	"{""min"": 48.96, ""max"": 48.96}"	"{}"	"{}"	"{}"	"{}"	"{}"
"3063304"	"10702196"	"35043.03198"	"2016-10-11 00:00:00.000"	"45419-2921"	"Oakwood"	"OH"	"Joshua Wilson"	"joshua.wilson@gmail.com"	"$2b$12$cwrJAsmyCZ4IMZq/T0IWdOipfGMKC9KsqAZa.BSnrfcvchiXcLKie"	"%+*%edI^0!Wd"	"The user exhibits a strong preference for purchasing dog food and treats. They have demonstrated brand loyalty primarily towards Purina Beneful, Milk-Bone, and Canine Carry Outs, with a tendency to buy food products that maintain a higher protein content and include grains. Spending habits indicate a focus on mid to low-priced items, as reflected in their average expenditure of approximately $13.93 per product. The user has made frequent purchases, particularly in the 'Food' and 'Treats' categories, suggesting they prioritize these products for their pet's nutrition and enjoyment."	"[""Purina Beneful"", ""Milk-Bone"", ""Canine Carry Outs""]"	"[""High-Protein"", ""With Grain"", ""Pea-Free"", ""Rawhide-Free""]"	"Recently bought Canine Carry Outs and Milk-Bone treats, so might buy more treats or related accessories."	"{""min"": 16.48, ""max"": 16.48}"	"{""min"": 8.99, ""max"": 14.48}"	"{}"	"{}"	"{}"	"{}"
"80141865469"	"918162661"	"33003.70006"	"2023-07-27 00:00:00.000"	"60477-6320"	"Tinley Park"	"IL"	"Michelle Brown"	"michelle.brown@gmail.com"	"$2b$12$4ZLOs6.3J8KpqkpNRKpbru91gfHJ7klBZ951m3z64DIBxVZOpMMUy"	"U)ASYh*sR2(7"	"The user exhibits a diverse pet shopping behavior, with a notable focus on food and litter products. They have a moderate level of brand loyalty, primarily towards Friskies, with significant spending observed on both food and pet gear. The average price of purchases indicates a preference for budget-friendly options, particularly in the food category. Recent purchases suggest they prefer affordable yet effective products for their cat's diet and waste management."	"[""Friskies"", ""Blue Buffalo"", ""Frisco""]"	"[""Indoor"", ""No Corn No Wheat No Soy"", ""Natural""]"	"Recently bought Friskies and Blue Buffalo food, so might buy more Friskies or try another variant from Blue Buffalo."	"{""min"": 14.38, ""max"": 16.01}"	"{}"	"{""min"": 8.99, ""max"": 8.99}"	"{}"	"{}"	"{}"
"43612356491"	"145337682"	"31912.20213"	"2021-05-07 04:00:00.000"	"60654-7105"	"CHICAGO"	"IL"	"Brandon Kelley"	"brandon.kelley@gmail.com"	"$2b$12$qzZmWZdhUNP66j0TWkpUTeAC7x1sZ54wMTe8fD0FivztxnBjI.Lhq"	"w^2*+geq&fG#"	"The user exhibits a strong loyalty towards specific brands, primarily Blue Buffalo, Purina ONE, and Fancy Feast, with a consistent purchasing behavior reflected in a high conversion rate of 1.0. They predominantly purchase pet food, with a preference for grain-free options, spending an average of $34.73 per item. Recently, the user has shown interest in high-protein canned food options for both dogs and cats, demonstrating a focus on quality and nutritional value."	"[""Blue Buffalo"", ""Purina ONE"", ""Fancy Feast""]"	"[""Grain-Free"", ""Weight Control""]"	"Recently bought grain-free canned dog food and weight-control cat food, so might buy more high-protein snacks for dogs or cats."	"{""min"": 20.97, ""max"": 39.74}"	"{}"	"{}"	"{}"	"{}"	"{}"
