CUSTOMER_KEY	CUSTOMER_ID	OPERATING_REVENUE_TRAILING_365	CUSTOMER_ORDER_FIRST_PLACED_DTTM	CUSTOMER_ADDRESS_ZIP	CUSTOMER_ADDRESS_CITY	CUSTOMER_ADDRESS_STATE	name	email	password_hash	password
24612503152	72030138	63742.65384	2019-09-17 00:00:00.000	64503-1542	SAINT JOSEPH	MO	Stephanie Scott	cummingslucas@gmail.com	$2b$12$yYfEXyxmsD40S7hJdzOigusK1PQoZ1As1tzVHgKk98rEr5O2F7qqa	ZgO3To1@J_CC
2763257	2172881	51017.3519	2014-08-11 00:00:00.000	45338-8764	LEWISBURG	OH	Paula Lee	katherinefowler@gmail.com	$2b$12$GLTQa1.UGTyGe3jTVLl6nO4DbgUSuTc9U7m3PrZpprOBTBf.tkuay	f3Srb7_j(Qvu
283250185	14348457	42892.26452	2017-02-21 05:00:00.000	65231-1012	AUXVASSE	MO	Courtney Miller	ngonzalez@gmail.com	$2b$12$HrGY/trJnPtDuq7StpcWdOBEL3eb1TyZ2SV3r2Q3WwiqLJ1eFRefC	hDO(d*Zks_P2
3215628	10967912	39607.92771	2017-04-12 00:00:00.000	33331-2607	FORT LAUDERDALE	FL	Karen Shelton	daniel61@gmail.com	$2b$12$i9qY.ZU6qEE0umy13ytIme0BquNt8ykH.R.e0EdmNwYmC9/DKgwHK	#U3Az%qT%)Rp
2139746	1851269	38048.17955	2014-06-06 00:00:00.000	30093-3943	Norcross	GA	Christopher Blanchard	cshelton@gmail.com	$2b$12$ADnTg.A9WUHF/Rbg6X8c5.MBfZEpq7bN2s/kBYqduuStxgUL1J5by	jWDSWWzf1h6_
3863625	3248799	38006.28766	2015-08-03 04:00:00.000	66617-1587	Topeka	KS	Dominique Baker	bshepherd@gmail.com	$2b$12$KAIImgIRIvf/tMwGZ0xMgOgsTorC1/S6wEab5UU/pYYofB8JpA/Ia	#msOSupf3y&7
7760634	10763261	35157.4383	2016-10-26 00:00:00.000	11385-1043	RIDGEWOOD	NY	Robert Swanson	hancockvictoria@gmail.com	$2b$12$2d9asY8MqHLsYAwmzmTCFe888DoZzony1Yqatcfuxx6nynl1Kb1B2	#eNnXJ$G9CR9
3063304	10702196	35043.03198	2016-10-11 00:00:00.000	45419-2921	Oakwood	OH	Heather Maldonado	csolis@gmail.com	$2b$12$bW95o.MFmCELBMiuoASE6.jbM8zxNE44RiVLXySDg.2IvYrtbeFn6	Y@!y*XHk$j(5
80141865469	918162661	33003.70006	2023-07-27 00:00:00.000	60477-6320	Tinley Park	IL	Kristine Daniels	opatterson@gmail.com	$2b$12$2rcjQM8eXVcaHTglC5dz2uHXG76YCsjpwQrgKOFUZ.HYjIi3gSKsm	%RK6l3gFq8Ru
43612356491	145337682	31912.20213	2021-05-07 04:00:00.000	60654-7105	CHICAGO	IL	Randy Mason	weaverlauren@gmail.com	$2b$12$OPzebQnVJ74vY1L7YneOkeTAc8KRGIYHZn7w3MW074tNDy7ckYZEi	%+4HWVyfK*Z#
69204343906	904367094	31653.68702	2023-05-02 00:00:00.000	78757-1468	AUSTIN	TX	Megan Bender	zbonilla@gmail.com	$2b$12$F9f0N.S68gn71k4HL/bBke6m/Vub9jdpiWmaDzPA/vtPB/VWORwHy	_d3J%XbkjBU^
4087770	4056463	30635.69873	2015-05-27 00:00:00.000	90025-5734	Los Angeles	CA	Jeffrey Martin DDS	jonathan27@gmail.com	$2b$12$FWDojOcAzE/Po/rb2NuDOOWxddVIYymPDNCnE3Jsa//T69Zzeb8dC	&G9QTSjL_arw
20325751420	63791656	23941.17967	2019-06-09 04:00:00.000	88220	CARLSBAD	NM	Anthony Gonzalez	mariahwalsh@gmail.com	$2b$12$iFAV5oFIH6FsrGshDygHNuLumaKoeP1ZYYUEyxHDe6XJZsLabSm6G	mJ9uNnjca(s5
55400089539	882005009	23459.21284	2022-03-12 00:00:00.000	54001	Amery	WI	Henry Roberts	ajackson@gmail.com	$2b$12$bG7Ksru8o8Oxu1tKZBSzgejyq3EPH9xafQ.ipcN5Vd54lm4WdeU7q	S*!9Xj1vngn9
480500322	16520913	22782.00211	2017-04-24 00:00:00.000	40445-8812	LIVINGSTON	KY	Stephen Cox	jenniferhernandez@gmail.com	$2b$12$kR0iswEg6N458tlTBfHP/uVaN7aPbt.zmeZ.Vt.yHIR/Dh26vGD1G	#m7ushe8yliI
52934333833	204886726	22481.74525	2023-05-04 00:00:00.000	23462-1192	VIRGINIA BEACH	VA	Virginia Farmer	wdavis@gmail.com	$2b$12$wN4su8Kgp3LVwtLbDBPpqeJr3JZ.pkllRFWc3Ku1a/QCGMcZKAky6	e$#0pBcA+Pdp
45893630532	156460494	21926.11852	2021-07-26 04:00:00.000	07047-4517	North Bergen	NJ	Matthew Hill	nathaniel21@gmail.com	$2b$12$Vk2URBxxHzrrsS9wv3soLep.jtEeirFYyo9eOVeE7eaqXVpPGjXxG	bL0W#xxG#02m
1186503215	21401118	21541.67958	2017-08-29 00:00:00.000	11743-5510	HUNTINGTON	NY	Elizabeth Barnes	michaelmartinez@gmail.com	$2b$12$oiDmbDj1xbHjyRDOSnsGE.COcuZrxrHvnvLus9U0bZYTN.jx.FSCu	+13FoJN*GqEe
6924774	1524452	20078.84754	2014-09-04 00:00:00.000	43311-2929	BELLEFONTAINE	OH	John Williams	catherine38@gmail.com	$2b$12$NqEIoRbBY7MnCS.aeI/mVuN8ZxIdXcY02zVBVa0cJL3Bz9ayFjP4u	F(+eK0#wL+2G
45419899614	153888379	19743.86542	2021-07-07 00:00:00.000	29653-9673	HODGES	SC	Kristen Foster	zgreene@gmail.com	$2b$12$oDuiuVkeKeOkmtfl2BAef.UBnFgwecuJCUXQlNQDs9NMHmo48QX5C	I4XB)Ie7@jsX
47223624126	163877004	19180.32531	2021-10-13 00:00:00.000	95204-3038	STOCKTON	CA	Kathy Adkins	jenkinsvalerie@gmail.com	$2b$12$jRRIat7V8K2cr2Eg9ZwCW.1P2lMoPoJgXSYmV0krhJku9Ok7UFV1i	H!zMl5CehS&b
30708255323	90658254	17888.21114	2020-03-25 00:00:00.000	94952-1114	PETALUMA	CA	Justin Sutton	mcastillo@gmail.com	$2b$12$WiPIVwsr.ThXcfltbXcgpOpsr11eXBzj1LSGgNz64nDW7ifJSUdNW	_TaCH&4f0$53
154907	8287983	17746.18589	2016-06-06 04:00:00.000	92058	Oceanside	CA	Jenna Flynn	novakana@gmail.com	$2b$12$9WbT0pEYI/WVXxHL2jJGV.TBJnono.s/RTdEILt7nlRFdRVWZ0ktm	MY5dBRof3^L_
4238846	4654616	17710.39321	2015-08-09 00:00:00.000	33330-3021	Southwest Ranches	FL	Tonya Ortiz	pburns@gmail.com	$2b$12$4VmrsoFskpsVYCaQ.bsyOODOUiiITsQYxUOpYNjsP0THMt7WrP3eu	r^mb$PxgK!30
8093495	4881533	17359.40576	2015-09-04 00:00:00.000	07470-3904	WAYNE	NJ	Amber Weber	leonardflores@gmail.com	$2b$12$VcJ8rkJD.IFWaGhz4S8/d.7qC17A4XfU7ualkGBTLaIfEj42GcKmq	WL33^DPmH@lg
2027718	9755482	17290.71291	2016-08-23 00:00:00.000	34747-4679	Celebration	FL	Jennifer Johnson	palmerkayla@gmail.com	$2b$12$wEbRd4cp3uncpXrsdju2Me0Up9YI7H4we1d4Hy8OK3WmRHfVXUTsC	&Mhv&bOp6@6H
7983107	3958694	17261.75303	2015-05-14 04:00:00.000	91387-2123	CANYON COUNTRY	CA	Michelle Vega	sandramason@gmail.com	$2b$12$E1CIYcaJH4IVSU3S8sbv6.oJuMujhzMaUvuWeo46ZEsSWXJIrGdAO	(nUmeeRos0Bk
4099902	3577870	17192.38617	2015-03-23 00:00:00.000	11545-2007	GLEN HEAD	NY	Rhonda Adkins	marcusharrington@gmail.com	$2b$12$1zlV8TeHC5hh1jA69Di/IeZpIpZ2HJD.9A1gnGYPm5mUMMnkujdZm	j72Lhk7Bs)5_
4087608	4055340	17008.39879	2015-05-27 00:00:00.000	95121	San Jose	CA	Sarah Oconnell	rebekah19@gmail.com	$2b$12$biNwSY7RirafvjakU/K9MOiAts1QPvU6cnL.WwvmXyTiWiLusWgGy	NfS@Vu&q33EJ
1195500160	21457445	16963.17047	2020-07-16 04:00:00.000	91352-1144	SUN VALLEY	CA	Jorge Hutchinson	ivasquez@gmail.com	$2b$12$.RHqBC/84eyKZKcFbhjy7uDRHbr2fC2NJMvSh4uzxJG0jn2VgCIF.	H!214pUg5mFm
25880750340	75593294	16729.37622	2019-11-02 00:00:00.000	33411-9080	Royal Palm Beach	FL	James Collins	meganstevens@gmail.com	$2b$12$TPUDOVQiIVmXYkqJ4DQb4eJhnUO1e7uuWaFi4UYfeaks2wWwAPvuS	gM(+YZXm5P9k
62952324080	267999380	16666.76301	2022-09-01 00:00:00.000	10128-6804	New York	NY	Mackenzie Cunningham	james34@gmail.com	$2b$12$7oK0/OsH1c/lRKwUCMAHMegNw68N76/2VJDw0tHoWYWtTltWKnhCW	R3Jm*6Vo(XDr
4991983	4996721	16666.65379	2015-09-18 00:00:00.000	12550	Newburgh	NY	Theresa Dodson	craigyoung@gmail.com	$2b$12$SKrXC131Xdk1lJ1YJud6b..qWg4Tv3mOlxM6RUgba5WY0T/G1mT6W	1cRymOaK7j2!
8025754	4324592	16423.178	2015-06-29 00:00:00.000	92262-6272	Palm Springs	CA	Kristen Little	thorntonelizabeth@gmail.com	$2b$12$62Ht4K4hbpCPPW5RxW7iG.swwTukQ4IC5wjhXwB.Y3DB8shxFCOlC	&cFti8v87!1w
11288481	11564173	15843.05126	2016-11-16 00:00:00.000	70117-4416	NEW ORLEANS	LA	Lynn Spencer	robert09@gmail.com	$2b$12$fZ/naQJJKDGZwieTOyhDnOyj6LpOiOr.faZWHXelmyVDUKZQAVzLi	Pd2EmVv6r&3I
60766344098	264922434	15503.28906	2022-06-24 00:00:00.000	68022-2202	ELKHORN	NE	Jeremiah Adams PhD	bakerjoshua@gmail.com	$2b$12$oE7pCmKyTvNWwXyaT6pd5.0KDI8vu9ELaWTFIO/W7rHy2G3rErDNq	)C2wnNR(k)KD
181252447	13178276	15488.91146	2017-01-15 00:00:00.000	98284	Sedro Woolley	WA	David Zhang	dmarks@gmail.com	$2b$12$XfaHTWpIum8xs349ER.pRuOUuI/3nIgclZPhx5hI9CkG.jw7gGYVa	Lg2$EHisMloJ
1336500231	22300334	15433.02903	2017-09-21 00:00:00.000	78736-7805	AUSTIN	TX	Tiffany Rodriguez	sschultz@gmail.com	$2b$12$p8m2rRA8rCtHBWKzsveAS.9ncrJtZaokLqNAuSU05juFbMgfhUzTa	6N3+e!YmH23A
212021	8359843	15395.91375	2016-06-09 00:00:00.000	22942-6216	Gordonsville	VA	Patricia Brown	scottwiley@gmail.com	$2b$12$.jWIaW4HkAb.BiDL48KYNeMnUdR/dZuACjYx7F4KTudBP1J4TqVKa	HV2VuGym$Nde
55739598878	882827426	15004.31294	2022-03-21 04:00:00.000	92011-1531	CARLSBAD	CA	Tracy Cooper	trandall@gmail.com	$2b$12$rNRSqcNC.xt39Tv/H/TrMeEblPNnibXsJuK.hVk7s1EHM.6YUWXuu	&f6Zu9df0@0o
1798750106	24398109	14992.77127	2017-11-24 00:00:00.000	19901-7708	DOVER	DE	Elizabeth Obrien	floresryan@gmail.com	$2b$12$QNR15Z7GQ2lF7s7SKFYWwuMLXf.Am6FV/XNM4ETZP2UPyMoVS3keW	tvDobXNvc4@F
53905337773	208411412	14940.57746	2022-02-08 05:00:00.000	71913-7404	HOT SPRINGS NATIONAL PARK	AR	Christina Bennett	elang@gmail.com	$2b$12$fzVc/u.knu6aQMs3/RgAXupDL6cuUzMzxGm01s3qDXOLoDH1xmcZy	*IReeplC#96G
6220891	859193	14825.13716	2013-10-29 00:00:00.000	46383-9726	VALPARAISO	IN	Chelsea Martinez	sgutierrez@gmail.com	$2b$12$XE4Y0tCxAjtT0ny5ykTO4eGAiikquz91QBFzujBXXKJiY3g8jBseq	xM^9Mc&WH2!x
8783676	6280027	14620.93009	2016-01-15 00:00:00.000	17324-9718	GARDNERS	PA	Thomas Leblanc	vanessawilson@gmail.com	$2b$12$D8PcxNpam9A/aUhUtobOkeJ2VQfTWvbbytkX.T06fyGxmHoiJtKJe	1^71iZFNCk&#
